email,name,role,temp_password
s00002@students.su.edu,Luna Mendoza,student,*4bVobFBXBMn
s00003@students.su.edu,Harper Domingo,student,5#l@KIC3n!n5
s00004@students.su.edu,Ava Navarro,student,4d7fSta@Z1L4
s00005@students.su.edu,Jamie Reyes,student,EfH4S#Y%AFk#
s00006@students.su.edu,Zoey Natividad,student,lGm#By36Fg8U
s00007@students.su.edu,Alex Aquino,student,4an#N4aDu@0W
s00008@students.su.edu,Casey Lazaro,student,Jmp6ZFJn!QEA
s00009@students.su.edu,Kendrick Ramos,student,iTI3b^X2zLV8
s00010@students.su.edu,Sofia Yap,student,Iu!0kmQ!f!Iy
s00011@students.su.edu,Drew Lazaro,student,4#4Tm5*Cd$Ps
s00012@students.su.edu,Jamie Bautista,student,GpkMwsv4#K#o
s00013@students.su.edu,Ava Zamora,student,VB&0^6fG02!l
s00014@students.su.edu,Sofia Garcia,student,k!16KwaTTW^N
s00015@students.su.edu,Oliver Lazaro,student,c%OJZ^6P0Rfe
s00016@students.su.edu,Jordan Ortega,student,tIJ8CIxt!H^z
s00017@students.su.edu,Avery Jacinto,student,Z%H!k@Nz4&oS
s00018@students.su.edu,Riley Castillo,student,0ls$yuEI#N1y
s00019@students.su.edu,Oliver Garcia,student,6%1$9J5rLIF5
s00020@students.su.edu,Mia Ramos,student,K7fEu!euGeR#
s00021@students.su.edu,Evelyn Panganiban,student,tF!aqTKZ61CM
s00022@students.su.edu,Elijah Esparza,student,V*^Qv@k1j$v7
s00023@students.su.edu,Emma Uy,student,8@cRBHJ@rF5C
s00024@students.su.edu,Evelyn Natividad,student,qM5kgy^2jdVw
s00025@students.su.edu,Mason Reyes,student,duK4$rqEJy!7
s00026@students.su.edu,Noah Ramos,student,8MZoOXk!fIl0
s00027@students.su.edu,Drew Villanueva,student,Qv1N&&x9vuU2
s00028@students.su.edu,Ethan Marquez,student,J5!vptX2xp#@
s00029@students.su.edu,Charlotte Ilagan,student,H3Bv%f2^@@V^
s00030@students.su.edu,Oliver Esparza,student,6N2*6xNgWECU
s00031@students.su.edu,Elijah Cruz,student,#*E%dOHLd^51
s00032@students.su.edu,Mia Cruz,student,%Xf3nlr^$kIX
s00033@students.su.edu,Charlotte Villanueva,student,VSk902nP3S!H
s00034@students.su.edu,Amelia Zamora,student,j6b@D!T6Gmfq
s00035@students.su.edu,Evelyn Villanueva,student,GF%!GD2uUS*5
s00036@students.su.edu,Layla Panganiban,student,f6VeIvd&SfZm
s00037@students.su.edu,Emma Zamora,student,TM6Mr7y2A5#7
s00038@students.su.edu,Oliver Esparza,student,y!jf6!fM19Qc
s00039@students.su.edu,Liam Torres,student,7*Z0@iRI1t@D
s00040@students.su.edu,Mia Reyes,student,1K*V4F#QUjRk
s00041@students.su.edu,Harper Zamora,student,s1!s4a37WCv%
s00042@students.su.edu,Luna Santiago,student,SC!t!D4T8m7Y
s00043@students.su.edu,Scarlett Castillo,student,U9agLgxb&aYm
s00044@students.su.edu,Scarlett Zamora,student,UmFL6%b3o#O&
s00045@students.su.edu,Elijah Mendoza,student,&!Scxb761xm$
s00046@students.su.edu,Charlotte Natividad,student,vvGFn*fHX$X6
s00047@students.su.edu,Jamie Domingo,student,GXt#OYXa8&hW
s00048@students.su.edu,Chris Reyes,student,80dB!!JIhz*T
s00049@students.su.edu,Taylor Cruz,student,w*AgNtfdkp7%
s00050@students.su.edu,Chris Navarro,student,l*DAi2v5KS!x
s00051@students.su.edu,Morgan Reyes,student,#a0nBDJ7I%fI
s00052@students.su.edu,Drew Mendoza,student,1^92ArCUnME5
s00053@students.su.edu,Liam Marquez,student,EQ3q%^LM$UOk
s00054@students.su.edu,Scarlett Bautista,student,u*0KR9J%x53T
s00055@students.su.edu,Casey Domingo,student,7u*LI4hRw7w^
s00056@students.su.edu,Jordan Flores,student,8h7H9@CL4$Pa
s00057@students.su.edu,Aria Zamora,student,I&&OyqfAA7v8
s00058@students.su.edu,Avery Natividad,student,Hl$o6z!LcQTk
s00059@students.su.edu,Mason Cruz,student,F3I98P4h^RLa
s00060@students.su.edu,Elijah Zamora,student,&moJ*RFjh3rX
s00061@students.su.edu,Amelia Reyes,student,A&1UcYxJLrn%
s00062@students.su.edu,Evelyn Garcia,student,8$3!QQy&5gaQ
s00063@students.su.edu,Liam Panganiban,student,1J!^ieAlgQ6*
s00064@students.su.edu,Layla Mendoza,student,s5n1NX^o#Y6@
s00065@students.su.edu,Drew Reyes,student,0rbZ@pbU3mF!
s00066@students.su.edu,Oliver Flores,student,Lj7VC@qoxy!#
s00067@students.su.edu,Evelyn Querubin,student,xB!dpg!A3AQ#
s00068@students.su.edu,Casey Panganiban,student,TniW4j6fR#rY
s00069@students.su.edu,Mason Natividad,student,t&bt94F8c&z#
s00070@students.su.edu,Emma Yap,student,6Dl6J2Rxj%oC
s00071@students.su.edu,Jamie Zamora,student,RrzjuH34ydN*
s00072@students.su.edu,Liam Tan,student,NXH7IE!zq5BD
s00073@students.su.edu,Riley Garcia,student,wy6cV#%xLRsJ
s00074@students.su.edu,Noah Bautista,student,y2k!^OYk7xSj
s00075@students.su.edu,Oliver Tan,student,UEeZa&l9NgPo
s00076@students.su.edu,Avery Domingo,student,7iU$m6E^YQ1e
s00077@students.su.edu,Sofia Panganiban,student,YFnKidS6VG%B
s00078@students.su.edu,Drew Querubin,student,x3TS8qQ4s%5E
s00079@students.su.edu,Riley Ortega,student,2x6ViaPA!0F7
s00080@students.su.edu,Ava Aquino,student,oX2%Q$wh&t&u
s00081@students.su.edu,Kendrick Ramos,student,*!57t9c*%XZp
s00082@students.su.edu,Mia Torres,student,428cjgo$TSCS
s00083@students.su.edu,Luna Natividad,student,Z@zHm3ge#9N1
s00084@students.su.edu,Amelia Uy,student,6P8AgZcgsIw*
s00085@students.su.edu,Avery Natividad,student,u2GQG7PVxL!4
s00086@students.su.edu,Zoey Tan,student,XeTEmq#rm2Uv
s00087@students.su.edu,Sofia Santos,student,oI5q%Hf6hTT*
s00088@students.su.edu,Elijah Domingo,student,YSE%EyuvB9w$
s00089@students.su.edu,Evelyn Rivera,student,X9gB@Bo7G%a0
s00090@students.su.edu,Chris Navarro,student,qb#6s4UmhwBT
s00091@students.su.edu,Evelyn Domingo,student,7W*tZmQdJBLF
s00092@students.su.edu,Sam Uy,student,G8hu62X&O*tu
s00093@students.su.edu,Reese Yap,student,k9R%hS&FFv^X
s00094@students.su.edu,Kendrick Panganiban,student,GeVcM@D2Y%DR
s00095@students.su.edu,Layla Santos,student,!gPAze@c3QYm
s00096@students.su.edu,Ethan Castillo,student,JHJv!2zPN^by
s00097@students.su.edu,Charlotte Reyes,student,Et03^gJS*xNJ
s00098@students.su.edu,Elijah Gonzales,student,dG&qg4Wg^9pN
s00099@students.su.edu,Sofia Tan,student,bJ4jH&#3#SQo
s00100@students.su.edu,Scarlett Querubin,student,!&d0GiJIOK@x
s00101@students.su.edu,Liam Flores,student,0UmZ$jgeoJsj
s00102@students.su.edu,Oliver Zamora,student,MHm%o$GX19ca
s00103@students.su.edu,Layla Santos,student,4jAul@xNr3XH
s00104@students.su.edu,Casey Querubin,student,L*JYVAgbqnx8
s00105@students.su.edu,Scarlett Rivera,student,#!fSGc1He9%a
s00106@students.su.edu,Luna Querubin,student,$kLS@UUb!t8X
s00107@students.su.edu,Abigail Aquino,student,QDKSDvB!5X*n
s00108@students.su.edu,Riley Rivera,student,Ych2AHP!5l8E
s00109@students.su.edu,Abigail Ilagan,student,2rLCjlV^B*0#
s00110@students.su.edu,Isabella Yap,student,njpQK0OE!2s3
s00111@students.su.edu,Kendrick Salazar,student,9ol$4B0bM61#
s00112@students.su.edu,Sam Santos,student,wm$Hc6F6Um!J
s00113@students.su.edu,Reese Gonzales,student,ulIc37THNSp&
s00114@students.su.edu,Chloe Garcia,student,&t^GmqWiJiU8
s00115@students.su.edu,Aria Santiago,student,IyuJu$wzp7QV
s00116@students.su.edu,Elijah Mendoza,student,P&%2gEvQ^n$2
s00117@students.su.edu,Layla Garcia,student,hqP5%mAt%f9R
s00118@students.su.edu,Layla Esparza,student,FTU^oDR!mz6r
s00119@students.su.edu,Taylor Jacinto,student,qt3P6j&H9yHx
s00120@students.su.edu,Kendrick Jacinto,student,Os!@%rFEvV6M
s00121@students.su.edu,Logan Uy,student,jc%%z6C$v28b
s00122@students.su.edu,Mason Gonzales,student,9MZq7qrbu#ig
s00123@students.su.edu,Abigail Yap,student,o!OKcxR$jJ3a
s00124@students.su.edu,Riley Domingo,student,8u#oRr6IrxVF
s00125@students.su.edu,Mason Torres,student,Nd1Y#2P&u9hi
s00126@students.su.edu,Mia Marquez,student,eO7J*@Bf06!f
s00127@students.su.edu,Casey Cruz,student,QoY42F^U%jxh
s00128@students.su.edu,Liam Santiago,student,^lKpnFQ9RDKN
s00129@students.su.edu,Scarlett Querubin,student,2hiMKYB*%Exw
s00130@students.su.edu,Sam Santos,student,pZip!YxAG0rO
s00131@students.su.edu,Morgan Lazaro,student,fUqIs92cfnz&
s00132@students.su.edu,Morgan Santiago,student,lzVCr9^gCTTH
s00133@students.su.edu,Elijah Rivera,student,SyzbJ%CcYD57
s00134@students.su.edu,Abigail Zamora,student,#hTm02alv6#E
s00135@students.su.edu,Emma Garcia,student,sGG^WK4*@n3$
s00136@students.su.edu,Chloe Gonzales,student,zf9fBq3t*JWq
s00137@students.su.edu,Kendrick Tan,student,l$$$dSLd!00z
s00138@students.su.edu,Amelia Salazar,student,wc$yWT%3xPm8
s00139@students.su.edu,Avery Cruz,student,6#fiBcNV8bT&
s00140@students.su.edu,Avery Yap,student,ap%B33fOaTb&
s00141@students.su.edu,Harper Mendoza,student,Gi8*%OaPfin5
s00142@students.su.edu,Abigail Ramos,student,U9NXw@rz%j6*
s00143@students.su.edu,Sofia Gonzales,student,ScQ%YeKbb6zh
s00144@students.su.edu,Zoey Ortega,student,V*wM$&VdsmY1
s00145@students.su.edu,Zoey Tan,student,06*oDfrWt8Sc
s00146@students.su.edu,Kendrick Torres,student,nLY^515wH^8Z
s00147@students.su.edu,Luna Marquez,student,kVU2$aRvqjh4
s00148@students.su.edu,Avery Mendoza,student,FoXsiWiD9@7T
s00149@students.su.edu,Sam Ramos,student,VQa33uDk!7zO
s00150@students.su.edu,Casey Mendoza,student,7gEdp6FZI$JE
s00151@students.su.edu,Reese Reyes,student,KGwp%Oeu2Sx9
s00152@students.su.edu,Abigail Villanueva,student,Z0hR@d@Q*bBn
s00153@students.su.edu,Evelyn Ortega,student,KFTAI!&O7kz2
s00154@students.su.edu,Ava Torres,student,5ya#0aN1rISO
s00155@students.su.edu,Aria Torres,student,8Z6df$WN$8!R
s00156@students.su.edu,Charlotte Lazaro,student,Z@@LYj4L45ZL
s00157@students.su.edu,Chloe Torres,student,1H2u^f244L*7
s00158@students.su.edu,Zoey Uy,student,B%6$R$#U7XAz
s00159@students.su.edu,Avery Lazaro,student,R9C#fm@NKUAe
s00160@students.su.edu,Oliver Torres,student,Uo@lZUrlV&W1
s00161@students.su.edu,Casey Lazaro,student,cEFQ#sRIgiz6
s00162@students.su.edu,Logan Mendoza,student,ZHrSkN#9*sB%
s00163@students.su.edu,Chris Flores,student,L8rXRk$eTIN2
s00164@students.su.edu,Casey Bautista,student,C8YR8pa&ea^I
s00165@students.su.edu,Alex Mendoza,student,WF%V9OJrvZVY
s00166@students.su.edu,Morgan Gonzales,student,*K87PN^z4CX9
s00167@students.su.edu,Reese Ortega,student,&u3Kt%$gB72d
s00168@students.su.edu,Sofia Santos,student,DEbwp2X1#Gp9
s00169@students.su.edu,Evelyn Yap,student,9!bH*2XNKPX4
s00170@students.su.edu,Abigail Castillo,student,iKUvH$vhC79B
s00171@students.su.edu,Reese Uy,student,5m#Vpe^C@9TT
s00172@students.su.edu,Harper Rivera,student,KF1*OUdcnhBw
s00173@students.su.edu,Aria Tan,student,C#g@$#XwjU0r
s00174@students.su.edu,Sofia Flores,student,6^*F$6SkqoYW
s00175@students.su.edu,Taylor Rivera,student,2NPwA!*24@dU
s00176@students.su.edu,Jordan Garcia,student,4HWaUn#Xi@F7
s00177@students.su.edu,Alex Yap,student,A6f9WweCkmJ#
s00178@students.su.edu,Isabella Natividad,student,2DIder$K#L$c
s00179@students.su.edu,Chloe Tan,student,lgU$619f@Iz#
s00180@students.su.edu,Isabella Marquez,student,E0yatMXCs%QY
